Model,Dimensions,Pearson,MSE,MAE
Baseline Cosinus Simple,50D,0.17515624231896687,6.156660395596509,2.3354133234692034
Baseline Cosinus TF-IDF,50D,0.2886789280331502,5.862487304183411,2.2793279817451397
Baseline Cosinus Simple,100D,0.21304319520654946,5.936302953239455,2.290624667539747
Baseline Cosinus TF-IDF,100D,0.32222613982437504,5.572608429233585,2.2196028547189344
Baseline Cosinus Simple,150D,0.24181121631779626,5.70403281118948,2.2424325373295813
Baseline Cosinus TF-IDF,150D,0.3563928265013202,5.332224974149063,2.169574175069049
Baseline Cosinus Simple,300D,0.2435856248482825,5.424708233486997,2.1816047348184675
Baseline Cosinus TF-IDF,300D,0.35434772113191754,5.084731002459978,2.115080886505484
Model Agregat,50D,0.3809689332898752,0.6616277955130163,0.6127889228057861
Model Agregat,100D,0.4438596510241285,0.6027465943990566,0.5849618476819992
Model Agregat,150D,0.4193883565112954,0.6247512506840028,0.5985816945028305
Model Agregat,300D,0.4204076318642416,0.6233721721099368,0.5983502067518234
Model Seqüència (Frozen),50D,0.31668177497420447,3.2101820942835273,1.5979911649417877
Model Seqüència (Trainable),50D,0.20130323358497829,3.209792854945032,1.5978217715215683
Model Seqüència (Random),50D,0.05208503463674588,3.2104697273086167,1.5980082309436798
Model Seqüència (Frozen),100D,0.23358824198423286,3.2098664229041947,1.5978688587141037
Model Seqüència (Trainable),100D,0.21353270666598628,3.2096491290054736,1.5977810003948212
Model Seqüència (Random),100D,0.05595145835208036,3.2097820485324826,1.5978009324264526
Model Seqüència (Frozen),150D,0.23123677139359605,3.209832943628423,1.5978541966867448
Model Seqüència (Trainable),150D,0.08484603016392606,3.209734403306863,1.597813877005577
Model Seqüència (Random),150D,0.04805129100289551,3.209608401437314,1.5977444457006453
Model Seqüència (Frozen),300D,0.22120461809403824,3.209727591705117,1.5978131759357452
Model Seqüència (Trainable),300D,0.09295433611290109,3.2096087248290877,1.597776112217903
Model Seqüència (Random),300D,-0.021143204148392037,3.220854521102841,1.6002201708745956
Baseline One-Hot,50D,0.20872036536079205,2.4364868628180165,1.3043873419115166
Baseline One-Hot,100D,0.22440351955117394,2.2338630679653457,1.2374887107658583
Baseline One-Hot,150D,0.24044936604896033,2.0838082570894567,1.189350531220241
Baseline One-Hot,300D,0.286610435562942,1.8156960267974596,1.098127522867194
spaCy Embeddings,50D,0.21369068927685134,5.2287191443986,2.1331550830278116
spaCy Embeddings,100D,0.22204488314121207,5.206132125736366,2.129270910355552
spaCy Embeddings,150D,0.21355157609415168,5.18789953693988,2.125196857395055
spaCy Embeddings,300D,0.22047347373594964,5.222366873274072,2.133862952945543
RoBERTa Base,50D,0.46961205326142375,6.194461127946836,2.3467085111999513
RoBERTa Base,100D,0.46666309770467984,6.307838430601262,2.3682609661483767
RoBERTa Base,150D,0.4798172822024912,6.297709261629037,2.366380256500244
RoBERTa Base,300D,0.4847059512001341,6.267374204459088,2.36045944103241
RoBERTa Base,768D,0.477782376789745,6.534671274317131,2.4112007664108277
RoBERTa STS Fine-tuned,Full Model,0.7495534719968339,0.3242285002929526,0.4224387472987175
